,Name,Year,School,Pos,PTS,TRB,AST,STL,BLK,TOV,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV
189,Raymond Felton,2006.0,UNC,PG,12.9,4.3,6.9,2.0,0.3,3.6,11.9,3.3,5.6,1.3,0.1,2.3
190,Charlie Villanueva,2006.0,UConn,PF,13.6,8.3,1.3,0.6,1.8,2.3,13.0,6.4,1.1,0.7,0.8,1.2
191,Channing Frye,2006.0,Arizona,C,15.8,7.6,1.9,0.9,2.3,1.7,12.3,5.8,0.8,0.5,0.7,1.5
192,Ike Diogu,2006.0,Arizona State,PF,22.6,9.8,1.3,0.6,2.3,3.6,7.0,3.3,0.4,0.2,0.4,1.1
193,Sean May,2006.0,UNC,PF,17.5,10.7,1.7,1.2,1.0,2.5,8.2,4.7,1.0,0.7,0.5,1.4
194,Rashad McCants,2006.0,UNC,SG,16.0,3.0,2.7,1.3,0.7,1.9,7.9,1.8,0.8,0.6,0.3,1.1
195,Antoine Wright,2006.0,Texas A&M,SG,17.8,6.0,2.2,1.2,0.7,2.4,1.8,0.8,0.3,0.1,0.1,0.5
196,Joey Graham,2006.0,Oklahoma State,SF,17.7,6.2,2.0,0.9,0.2,2.7,6.7,3.1,0.8,0.5,0.2,1.2
197,Danny Granger,2006.0,New Mexico,SF,18.8,8.9,2.4,2.1,2.0,2.4,7.5,4.9,1.2,0.7,0.8,1.0
198,Hakim Warrick,2006.0,Syracuse,PF,21.4,8.6,1.5,1.0,0.8,2.5,4.1,2.1,0.4,0.2,0.3,0.8
199,Julius Hodge,2006.0,NC State,SG,17.0,6.6,4.8,1.4,0.7,2.6,0.9,0.5,0.4,0.1,0.0,0.6
200,Nate Robinson,2006.0,Washington,PG,16.4,3.9,4.3,1.7,0.2,2.0,9.3,2.3,2.0,0.8,0.0,1.6
201,Jarrett Jack,2006.0,Georgia Tech,SG,15.5,4.8,4.5,1.8,0.1,3.4,6.7,2.0,2.8,0.5,0.0,1.3
202,Luther Head,2006.0,Illinois,SG,15.9,4.0,3.8,1.7,0.2,1.8,8.8,3.3,2.7,1.1,0.1,1.5
203,Jason Maxiell,2006.0,Cincinnati,PF,15.3,7.7,0.8,1.0,2.7,1.9,2.3,1.1,0.1,0.2,0.2,0.4
204,Linas Kleiza,2006.0,Missouri,PF,16.1,7.6,1.6,0.6,0.3,2.7,3.5,1.9,0.2,0.2,0.2,0.3
205,Wayne Simien,2006.0,Kansas,PF,20.3,11.0,1.4,0.6,0.6,2.3,3.4,2.0,0.2,0.3,0.0,0.6
206,David Lee,2006.0,Florida,SF,13.6,9.0,2.2,1.1,0.8,2.7,5.1,4.5,0.6,0.4,0.3,0.8
207,Salim Stoudamire,2006.0,Arizona,SG,18.4,2.3,2.2,0.8,0.1,2.4,9.7,1.9,1.2,0.4,0.0,1.3
208,Daniel Ewing,2006.0,Duke,SG,15.3,3.2,4.0,2.0,0.4,3.0,3.8,1.3,1.3,0.6,0.1,0.9
209,Brandon Bass,2006.0,LSU,PF,17.3,9.1,0.8,0.8,1.6,1.8,2.3,2.3,0.1,0.1,0.2,0.4
210,Ronny Turiaf,2006.0,Gonzaga,C,15.9,9.5,1.5,0.4,1.9,2.3,2.0,1.6,0.3,0.1,0.4,0.3
211,Travis Diener,2006.0,Marquette,PG,19.7,3.9,7.0,1.3,0.0,2.5,3.8,0.9,0.7,0.3,0.0,0.4
212,Von Wafer,2006.0,Florida State,SG,12.5,2.5,1.7,1.0,0.3,1.7,1.3,0.5,0.3,0.2,0.0,0.1
213,Chris Taft,2006.0,Pitt,C,13.3,7.5,0.8,0.4,1.7,1.6,2.8,2.1,0.1,0.1,0.4,0.1
214,Bracey Wright,2006.0,Indiana,SG,18.3,4.8,2.7,1.1,0.6,2.6,8.9,2.6,0.7,0.1,0.0,1.1
215,Ryan Gomes,2006.0,Providence,PF,21.6,8.2,3.2,1.5,0.2,2.5,7.6,4.9,1.0,0.6,0.1,0.9
216,Orien Greene,2006.0,Louisiana,PG,11.7,4.7,4.1,2.8,0.3,3.5,3.2,1.8,1.6,1.0,0.1,1.4
