,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Draft Position,Position Type
520,Anthony Bennett,2014.0,UNLV,35,27.1,5.8,10.8,.533,4.7,8.1,.587,1.0,2.7,.375,3.5,5.1,.701,16.1,8.1,1.0,0.7,1.2,1.9,2.3,CLE,4.2,3.0,0.3,0.4,0.2,0.9,1,PF
521,Victor Oladipo,2014.0,Indiana,36,28.4,5.1,8.4,.599,4.2,6.6,.644,0.8,1.9,.441,2.7,3.6,.746,13.6,6.3,2.1,2.2,0.8,2.3,2.5,ORL,13.8,4.1,4.1,1.6,0.5,3.2,2,PG
522,Otto Porter,2014.0,Georgetown,31,35.4,5.4,11.3,.480,4.0,8.0,.504,1.4,3.3,.422,3.9,5.1,.777,16.2,7.5,2.7,1.8,0.9,1.5,2.0,WAS,2.1,1.5,0.3,0.2,0.0,0.4,3,SF
523,Cody Zeller,2014.0,Indiana,36,29.5,5.5,9.8,.564,5.5,9.8,.567,0.0,0.1,.000,5.4,7.2,.757,16.5,8.0,1.3,1.0,1.3,2.3,2.2,CHA,6.0,4.3,1.1,0.5,0.5,1.1,4,C
524,Alex Len,2014.0,Maryland,38,26.4,4.6,8.5,.534,4.5,8.3,.544,0.0,0.2,.125,2.8,4.0,.686,11.9,7.8,1.0,0.2,2.1,1.6,2.7,PHO,2.0,2.4,0.1,0.1,0.4,0.6,5,C
525,Nerlens Noel,2015.0,Kentucky,24,31.9,4.1,6.9,.590,4.1,6.9,.590,0.0,0.0,,2.3,4.3,.529,10.5,9.5,1.6,2.1,4.4,1.9,2.6,PHI,9.9,8.1,1.7,1.8,1.9,1.9,6,C
526,Ben McLemore,2014.0,Kansas,37,32.2,5.4,10.8,.495,3.4,6.1,.553,2.0,4.7,.420,3.2,3.7,.870,15.9,5.2,2.0,1.0,0.7,2.1,1.9,SAC,8.8,2.9,1.0,0.5,0.2,1.2,7,SG
527,Kentavious Caldwell-Pope,2014.0,Georgia,32,33.9,5.8,13.4,.433,3.2,6.4,.498,2.6,7.0,.373,4.2,5.3,.799,18.5,7.1,1.8,2.0,0.5,2.0,2.2,DET,5.9,2.0,0.7,0.9,0.2,0.4,8,SG
528,Trey Burke,2014.0,Michigan,39,35.3,6.6,14.4,.463,4.7,9.3,.506,1.9,5.1,.384,3.4,4.3,.801,18.6,3.2,6.7,1.6,0.5,2.2,1.9,UTA,12.8,3.0,5.7,0.6,0.1,1.9,9,PG
529,CJ McCollum,2014.0,Lehigh,12,31.0,8.0,16.2,.495,5.3,10.8,.485,2.8,5.3,.516,5.2,6.1,.849,23.9,5.0,2.9,1.4,0.3,2.7,1.8,POR,5.3,1.3,0.7,0.4,0.1,0.9,10,SG
530,Michael Carter-Williams,2014.0,Syracuse,40,35.2,3.9,9.9,.393,3.0,6.9,.436,0.9,3.0,.294,3.2,4.7,.694,11.9,5.0,7.3,2.7,0.5,3.5,2.3,PHI,16.7,6.2,6.3,1.9,0.6,3.5,11,PG
531,Steven Adams,2014.0,Pitt,32,23.4,3.1,5.5,.571,3.1,5.5,.571,0.0,0.0,,1.0,2.2,.443,7.2,6.3,0.6,0.7,2.0,1.1,1.6,OKC,3.3,4.1,0.5,0.5,0.7,0.9,12,C
532,Kelly Olynyk,2014.0,Gonzaga,32,26.4,6.7,10.7,.629,6.4,9.8,.660,0.3,0.9,.300,4.1,5.3,.776,17.8,7.3,1.7,0.7,1.1,2.4,2.3,BOS,8.7,5.2,1.6,0.5,0.4,1.5,13,C
533,Shabazz Muhammad,2014.0,UCLA,32,30.8,6.3,14.3,.443,5.1,10.9,.463,1.3,3.3,.377,4.0,5.6,.711,17.9,5.2,0.8,0.7,0.1,1.6,1.7,MIN,3.9,1.4,0.2,0.2,0.0,0.4,14,SG
534,Shane Larkin,2014.0,Miami (FL),36,36.4,5.1,10.6,.479,3.2,5.9,.538,1.9,4.7,.406,2.4,3.1,.777,14.5,3.8,4.6,2.0,0.1,2.3,1.6,DAL,2.8,0.9,1.5,0.5,0.0,0.8,18,PG
535,Tony Snell,2014.0,New Mexico,35,31.2,4.1,9.7,.422,2.3,5.1,.452,1.8,4.7,.390,2.5,2.9,.843,12.5,2.6,2.9,0.8,0.5,2.1,1.3,CHI,4.5,1.6,0.9,0.4,0.2,0.6,20,SG
