,Name,Year,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,TRB,AST,STL,BLK,TOV,PF,NBATM,NBAPTS,NBATRB,NBAAST,NBASTL,NBABLK,NBATOV,Pick,Position
72,Sean Lampley,2003,California,31,34.6,6.7,13.4,0.502,6.5,12.4,0.527,0.2,1.1,0.212,5.8,7.9,0.738,19.5,7.2,3.3,0.9,0.5,3.6,2.5,MIA,4.8,2.4,0.9,0.2,0.1,0.7,44,SF
73,Loren Woods,2002,Arizona,29,30.3,4.6,9.1,0.504,4.6,9,0.506,0,0.1,0.333,4,4.9,0.83,13.2,6.5,2.1,0.7,2.9,2,2.2,MIN,1.8,2,0.4,0.3,0.6,0.6,45,C
74,Ruben Boumtje-Boumtje,2002,Georgetown,33,21.6,3.2,6.2,0.517,3.2,6.2,0.517,0,0,0,2.7,3.8,0.718,9.1,6.8,0.9,0.7,2.4,2.2,2.5,POR,1.2,1.7,0.1,0.1,0.5,0.4,49,C
75,Alton Ford,2002,Houston,26,25.5,3.7,8.5,0.432,3.3,7.2,0.462,0.3,1.3,0.265,3.1,5.1,0.609,10.8,5.9,0.7,0.2,0.7,2.5,3.7,PHO,3.1,2,0.1,0.1,0.1,0.6,50,PF
77,Jarron Collins,2002,Stanford,34,28.3,4.5,8.1,0.558,4.5,7.9,0.563,0.1,0.2,0.333,3.7,5.4,0.687,12.8,6.7,1.4,0.6,0.6,1.5,2.5,UTA,6.4,4.2,0.8,0.4,0.3,0.8,52,C
78,Kenny Satterfield,2002,Cincinnati,35,34.4,4.7,12,0.387,3.3,7.9,0.415,1.4,4.1,0.333,3.7,4.7,0.788,14.4,4.7,5.1,1.7,0.2,3.2,2.5,DEN,5.3,1.4,3,0.9,0,1.5,53,PG
80,Alvin Jones,2002,Georgia Tech,30,29.2,4.5,9.3,0.482,4.5,9.2,0.486,0,0.1,0,4.4,7.4,0.596,13.4,10.4,1.5,0.9,3.4,3,3.2,PHI,1.1,1.6,0.1,0.1,0.4,0.5,56,C
82,Jay Williams,2003,Duke,35,33.6,7.1,15.6,0.457,4,7.5,0.536,3.1,8.1,0.383,4,5.9,0.676,21.3,3.5,5.3,2.2,0.1,3.7,2.3,CHI,9.5,2.6,4.7,1.1,0.2,2.3,2,PG
83,Drew Gooden,2003,Kansas,37,30.2,7.7,15.3,0.504,7.4,14.3,0.519,0.3,1,0.278,4.2,5.5,0.755,19.8,11.4,2,1.8,1.4,2.9,2.5,TOT,12.5,6.5,1.2,0.8,0.5,2.1,4,PF
84,Dajuan Wagner,2003,Memphis,36,31.8,7.4,18,0.41,5.5,12.2,0.453,1.8,5.8,0.317,4.6,6.4,0.722,21.2,2.5,3.6,1.2,0.6,2.9,2.8,CLE,13.4,1.7,2.8,0.8,0.1,1.8,6,SG
